codice,nome,comune,Numero di sezioni del censimento,Superficie a fini statistici (Km2),Densità abitativa - Abitanti/Km2,Popolazione residente totale,Popolazione residente in età 0-14 anni,Stranieri residenti,Indice di vecchiaia,Incidenza dei residenti stranieri,Incidenza dei giovani fino a 24 anni,Indice di non completamento del ciclo di scuola secondaria di primo grado,Indice di adulti con diploma o titolo terziario,Incidenza degli alunni delle scuole primarie a tempo pieno,Incidenza degli alunni stranieri nelle scuole primarie,Incidenza degli alunni stranieri nelle scuole secondarie di I grado,Incidenza degli alunni stranieri nelle scuole secondarie di II grado,Incidenza degli alunni stranieri nelle scuole,Incidenza degli alunni tra i 6 e i 18 anni e la popolazione residente della stessa fascia di età,Incidenza degli alunni tra i 7 e i 9 anni e la popolazione residente della stessa fascia di età,Tasso di occupazione (20-64 anni),Tasso di disoccupazione (15 anni e più),Incidenza dei giovani che non studiano e non lavorano,Incidenza delle famiglie con potenziale disagio economico,Tasso di alloggi impropri,"Incidenza percentuale della popolazione di 67 anni  e oltre che vive da sola, senza casa di proprietà ",Percentuale di famiglie che non vivono in abitazione di proprietà,"Incidenza percentuale di lavoratori precari  35-64 anni che hanno un rapporto di lavoro dipendente di tipo ""interinale"" o ""occasionale"" sul totale degli occupati 35-64 anni","Uscita precoce dal sistema di istruzione (18-24 anni, totale) ","Uscita precoce dal sistema di istruzione (18-24 anni, stranieri) ","Uscita precoce dal sistema di istruzione (18-24 anni, femmine) ",Giovani di 18-24 anni usciti precocemente dal sistema di istruzione con genitori senza diploma,Indice di affollamento delle abitazioni occupate,Valore immobiliare medio delle abitazioni residenziali,Numero di Musei e Istituzioni similari,Visitatori dei Musei e delle Istituzioni similari,Musei con accesso ai disabili,Ospedali con pronto soccorso,Numero di biblioteche ,Numero di strutture con servizi integrativi per la prima infanzia,Numero di scuole primarie,Numero di scuole primarie a tempo pieno,Numero di scuole secondarie di I grado,Numero di scuole secondarie di II grado,Numero totale di scuole,Numero di stazioni ferroviarie,Prossimità dei musei ,Accessibilità della popolazione residente ai musei,Prossimità delle biblioteche,Accessibilità della popolazione residente alle biblioteche,Prossimità degli ospedali,Accessibilità della popolazione residente agli ospedali,Prossimità delle scuole,Accessibilità della popolazione residente ai servizi educativi per la prima infanzia,Accessibilità della popolazione residente alle scuole,Accessibilità della popolazione residente alle scuole primarie a tempo pieno,Accessibilità della popolazione residente alle scuole secondarie di II grado,Prossimità delle stazioni ferroviarie,Accessibilità della popolazione residente alle stazioni ferroviarie
,Uditore-Passo Di Rigano,Palermo,102,3.995834,7571.636744,30255,4048,455,178.186759,15.038837,24.052223,3.708851,63.996194,2.889885,0.597907,0.727273,1.787488,1.07487,137.939959,162.162162,52.762606,15.424468,27.132107,5.223396,0.107119,7.738647,31.372868,0.703545,13.253012,61.538462,11.669659,21.555252,0.416224,1271.190712,0,0,0,0,2,12,8,1,4,3,15,0,3.4,0,1.37,35.111552,12.11,0,0.400244,100,100,41.087424,95.865146,2.506121,0
,Borgo Nuovo,Palermo,68,10.858875,1715.094873,18624,2845,155,140.246046,8.322595,26.492698,5.585012,41.092784,0,0,0,1.033973,0.435053,57.738542,73.743922,42.664183,20.834972,37.625689,7.226309,0,7.35893,38.035482,0.925097,23.664122,72.727273,18.604651,26.125,0.447925,1181.306281,0,0,0,0,1,1,5,0,1,1,7,0,11.77,0,5.75,0,16.83,0,4.544169,71.445447,91.800902,0,71.445447,8.951034,0
,Cruillas - S.Giovanni Apostolo,Palermo,87,10.682269,2802.681723,29939,4380,215,150.319635,7.181269,25.074318,3.960969,55.237254,0,0.549451,0.266667,0,0.453309,25.974982,47.314286,49.110074,17.560946,30.371465,5.982461,0.185529,6.608006,33.116263,0.922226,16.24053,46.153846,16.456922,24.8307,0.450692,1181.366008,0,0,0,1,0,2,4,0,2,0,6,0,6.78,0,7.28,7.047664,9.52,25.855907,2.573705,82.334079,97.394703,7.49858,29.757173,4.561757,0.290591
,Resuttana - S.Lorenzo,Palermo,164,13.468501,2982.588868,40171,4580,617,242.227074,15.359339,21.224266,1.924095,81.125006,7.200339,1.694197,1.450443,2.203647,1.854169,186.111697,157.782516,61.333215,11.550971,17.849759,2.741042,0.137088,7.250396,21.984854,0.46616,5.752212,55.555556,4.202335,11.666667,0.346061,1525.435232,0,0,0,1,1,19,9,2,4,3,16,3,3.74,0,4.24,1.296956,2.77,95.481815,3.843989,97.079983,96.955515,64.208011,92.258097,1.520513,63.458714
,Tommaso Natale - Sferracavallo,Palermo,99,9.144489,2390.729617,21862,3246,266,140.573013,12.167231,25.217272,3.507572,58.968267,0,1.130856,0.420168,0,0.821918,36.617843,58.184524,50.128076,17.118115,30.180848,6.375101,0.307111,8.314718,34.872151,1.167623,14.996768,45.454545,14.20839,22.203673,0.415741,1277.331381,0,0,0,0,0,1,4,0,2,0,6,3,6.28,0,7.29,0,6.5,23.369317,1.187418,40.673314,92.251395,0,0,1.782709,68.484128
,Partanna Mondello,Palermo,156,16.760342,1165.608674,19536,2399,335,177.365569,17.14783,23.059992,2.677571,69.311433,0,1.464714,0,0,1.464714,32.298137,91.451292,53.407651,15.518024,24.682741,4.988689,0.267803,10.77957,31.468032,0.472627,9.925726,47.058824,8.251748,18.766067,0.356805,1562.380989,0,0,0,0,0,2,4,0,0,0,4,0,4.13,0,2.88,0,12.25,0.921376,0.387759,62.151925,87.525594,0.317363,0.624488,3.394705,0.342957
,Pallavicino,Palermo,82,4.876278,4990.896992,24337,4027,550,113.508815,22.599334,28.232732,6.877615,43.334626,10.678532,0.667408,1.142132,2.172285,1.675465,112.954309,64.671362,42.488576,21.77692,41.801497,8.827786,0.259623,9.389907,50.695759,0.474752,26.677316,25.806452,25.566343,33.937083,0.470611,1459.5513,1,33944,0,0,2,4,4,1,3,2,9,0,2.67,0,0.8,0,9.27,28.446398,0.588067,89.55089,97.152484,61.38801,51.727822,2.960855,10.194354
,Montepellegrino,Palermo,116,9.006663,2946.485427,26538,3568,557,178.447309,20.988771,23.675484,4.662566,58.950173,0,4.057279,3.254973,5.218855,4.569808,95.367365,71.978752,50.667193,16.727435,32.713936,5.072205,0.17179,10.47065,33.392762,0.713128,20.511454,45.454545,19.934995,32.307692,0.440983,1387.035572,0,0,0,0,4,5,4,0,2,2,8,3,5.35,0,3.58,0,7.78,11.451504,2.060251,99.954782,99.973623,0.045218,99.879418,2.333089,96.446605
,Arenella - Vergine Maria,Palermo,17,2.313821,3600.537765,8331,1140,53,161.842105,6.361781,24.366823,4.072165,50.314183,0,0,0,0,0,24.072312,69.130435,45.249237,20.095481,33.598266,6.591048,0.189274,9.007912,31.974249,0.547112,19.84375,20,19.871795,24.749164,0.507644,1305.25147,0,0,0,0,0,0,2,0,0,0,2,0,7.99,0,3.7,0,15.14,0,1.106338,18.221102,100,0,0,3.85253,0
,Popolazione senza fissa dimora,Palermo,1,0.002669,,517,3,55,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
