codice,nome,comune,Numero di sezioni del censimento,Superficie a fini statistici (Km2),Densità abitativa - Abitanti/Km2,Popolazione residente totale,Popolazione residente in età 0-14 anni,Stranieri residenti,Indice di vecchiaia,Incidenza dei residenti stranieri,Incidenza dei giovani fino a 24 anni,Indice di non completamento del ciclo di scuola secondaria di primo grado,Indice di adulti con diploma o titolo terziario,Incidenza degli alunni delle scuole primarie a tempo pieno,Incidenza degli alunni stranieri nelle scuole primarie,Incidenza degli alunni stranieri nelle scuole secondarie di I grado,Incidenza degli alunni stranieri nelle scuole secondarie di II grado,Incidenza degli alunni stranieri nelle scuole,Incidenza degli alunni tra i 6 e i 18 anni e la popolazione residente della stessa fascia di età,Incidenza degli alunni tra i 7 e i 9 anni e la popolazione residente della stessa fascia di età,Tasso di occupazione (20-64 anni),Tasso di disoccupazione (15 anni e più),Incidenza dei giovani che non studiano e non lavorano,Incidenza delle famiglie con potenziale disagio economico,Tasso di alloggi impropri,"Incidenza percentuale della popolazione di 67 anni  e oltre che vive da sola, senza casa di proprietà ",Percentuale di famiglie che non vivono in abitazione di proprietà,"Incidenza percentuale di lavoratori precari  35-64 anni che hanno un rapporto di lavoro dipendente di tipo ""interinale"" o ""occasionale"" sul totale degli occupati 35-64 anni","Uscita precoce dal sistema di istruzione (18-24 anni, totale) ","Uscita precoce dal sistema di istruzione (18-24 anni, stranieri) ","Uscita precoce dal sistema di istruzione (18-24 anni, femmine) ",Giovani di 18-24 anni usciti precocemente dal sistema di istruzione con genitori senza diploma,Indice di affollamento delle abitazioni occupate,Valore immobiliare medio delle abitazioni residenziali,Numero di Musei e Istituzioni similari,Visitatori dei Musei e delle Istituzioni similari,Musei con accesso ai disabili,Ospedali con pronto soccorso,Numero di biblioteche ,Numero di strutture con servizi integrativi per la prima infanzia,Numero di scuole primarie,Numero di scuole primarie a tempo pieno,Numero di scuole secondarie di I grado,Numero di scuole secondarie di II grado,Numero totale di scuole,Numero di stazioni ferroviarie,Prossimità dei musei ,Accessibilità della popolazione residente ai musei,Prossimità delle biblioteche,Accessibilità della popolazione residente alle biblioteche,Prossimità degli ospedali,Accessibilità della popolazione residente agli ospedali,Prossimità delle scuole,Accessibilità della popolazione residente ai servizi educativi per la prima infanzia,Accessibilità della popolazione residente alle scuole,Accessibilità della popolazione residente alle scuole primarie a tempo pieno,Accessibilità della popolazione residente alle scuole secondarie di II grado,Prossimità delle stazioni ferroviarie,Accessibilità della popolazione residente alle stazioni ferroviarie
I,San Nicola,Bari,114,0.900453,6471.186541,5827,675,129,200.148148,22.138322,21.091471,5.697151,42.654758,100,2.5,6.779661,0,4.316547,19.311377,34.83871,52.831257,13.87242,32.236095,4.396024,0.891473,12.147134,44.342508,1.330377,26.598465,100,22.826087,28.504673,0.653747,2283.577925,6,133295,0,0,4,1,1,1,1,0,2,0,4.87,100,4.13,99.485155,18.69,0,1.352788,100,100,100,99.485155,3.411566,3.91282
II,Murat,Bari,162,1.395609,16581.28733,23141,2534,1945,248.224152,84.049955,20.007778,5.034095,76.687669,2.401537,7.684918,7.748405,1.954242,4.863078,174.531686,127.862595,64.812585,9.724665,19.079963,2.323171,0.263667,9.98596,30.693497,0.698205,11.708645,63.087248,9.587021,22.529644,0.352065,2581.978967,0,0,0,0,5,8,2,1,3,2,7,1,0.73,99.961108,0.6,100,8.61,31.005575,0.567798,100,100,100,100,1.525378,39.617994
III,Madonnella,Bari,64,0.554657,19758.14919,10959,1235,1077,212.226721,98.27539,20.293822,5.742102,65.37455,3.628118,15.646259,13.846154,4.706218,6.530899,298.280098,110.162602,61.018742,11.123369,25.557012,2.663856,0.194856,11.216566,38.06056,1.099908,14.992722,61.016949,11.656442,22.162162,0.416075,1502.210278,1,9000,0,0,1,1,1,1,1,3,5,1,1.58,99.790127,0.99,76.357332,7.93,0.684369,0.291127,100,100,100,100,2.759267,100
IV,Liberta',Bari,140,1.820471,19571.303399,35629,3990,2742,222.83208,76.95978,20.721884,6.512814,53.753552,17.975402,16.745506,2.777778,3.307494,7.591463,83.777367,84.137056,55.34183,13.167063,28.146067,3.196626,0.516073,11.162791,37.075973,1.507827,22.008368,65.876777,17.614679,24.029381,0.490935,2177.462121,0,0,0,0,3,5,6,4,1,2,9,0,0.63,42.656263,0.69,87.529821,11.44,37.298268,0.161417,100,100,100,100,0.834286,3.525218
V,Japigia,Bari,163,15.348443,1948.275813,29903,3410,495,251.788856,16.553523,20.442765,3.313982,66.173375,32.429245,2.948113,3.117783,2.181322,2.495697,123.079232,71.284271,60.453035,10.720586,20.650567,1.922164,0.087944,6.662379,29.552286,1.491029,12.765957,46.428571,11.30064,23.481117,0.390897,1528.531739,0,0,0,0,4,4,3,2,2,4,9,2,5.56,8.306859,2.82,19.884293,8.71,17.275859,1.453224,89.215129,80.991874,69.170317,84.626961,2.371224,56.994282
VI,San Pasquale,Bari,114,4.123394,4783.922897,19726,2038,1069,269.479882,54.192436,19.547805,3.782758,75.428792,27.372881,2.79661,1.059322,3.082813,2.765627,308.397313,170.588235,63.9157,9.829645,17.657466,1.80776,0.123084,7.174706,25.45194,1.147826,8.009331,58.75,6.091371,11.392405,0.375627,1648.529013,1,500,0,2,1,4,4,2,2,6,12,0,4.59,18.726554,4.36,64.214742,4.76,57.877928,0.855348,96.243536,99.158471,83.351921,96.446315,5.30032,42.867282
VII,Carrassi,Bari,121,3.054971,10732.997248,32789,3342,1319,283.004189,40.226905,18.859984,2.721876,75.482592,19.471154,8.173077,3.819444,0,5.645161,31.799813,38.938053,63.027735,10.128169,18.724922,2.063983,0.17713,8.490235,24.554954,1.175968,8.116085,53.684211,6.087824,13.302752,0.384677,1990.15676,0,0,0,0,3,4,3,2,2,0,5,0,1.76,2.025069,0.55,79.166794,6.56,92.768916,0.762057,99.829211,100,99.524231,96.349385,2.056459,51.251944
VIII,Picone,Bari,240,14.637017,2748.920734,40236,4215,1158,286.144721,28.780197,19.278755,2.528056,77.75982,22.7446,2.498941,2.966102,2.32687,2.578206,102.524776,100.786517,65.257518,9.273583,17.141282,1.624442,0.310745,7.142857,22.483998,0.947018,6.987076,47.916667,6.134454,13.436123,0.371007,1650,0,0,0,1,1,13,6,3,3,3,12,0,10.62,0,3.45,29.776817,6.17,88.246844,1.015677,97.07973,95.382245,89.407496,94.987076,9.356939,32.259668
IX,Stanic,Bari,78,10.768416,398.20154,4288,590,116,136.271186,27.052239,26.609142,3.864279,47.41784,46.258503,5.442177,2.807018,0,3.703704,68.346457,69.69697,53.608247,13.195458,25.844156,4.070474,0.184275,7.560628,33.049818,1.095618,17.934783,50,17.222222,23.728814,0.511885,1716.004085,0,0,0,0,1,1,1,1,1,0,2,1,8.2,0,6.53,2.262127,11.95,23.787313,0.60997,57.206157,57.346082,57.346082,22.224813,1.77634,3.89459
X,Marconi San Girolamo Fesca,Bari,131,5.167113,3035.544273,15685,2184,184,126.098901,11.730953,25.744342,3.049257,56.212752,27.8,4.6,8.229426,0,6.215316,41.615782,71.526196,59.308592,10.738161,21.47651,2.814623,0.082075,8.855932,26.49628,1.322088,13.145897,37.5,11.587302,20.8413,0.492321,1150,0,0,0,0,0,1,2,1,1,0,3,1,17.5,0,6,0,9.2,0,0.340169,12.030602,91.252789,16.850494,0.070131,8.432646,21.944533
XI,San Paolo,Bari,141,8.851397,3379.353662,29912,4332,190,144.067405,6.351966,25.912677,4.887798,42.657035,30.30303,1.404287,0.461538,2.027883,1.361032,63.868962,88.132095,53.238636,13.102858,27.272727,2.993956,0.206108,8.39583,45.318457,2.185629,22.170997,80,18.820468,25.797307,0.484359,1211.687081,1,150,0,1,0,4,7,3,2,1,10,0,5.51,4.703798,2.19,0,7.64,98.900107,3.410778,81.224926,97.315459,92.0567,88.706873,2.687668,0
XII,Palese - Macchie,Bari,99,10.167852,1341.876392,13644,1763,386,162.223483,28.290824,23.834653,3.108087,67.631439,28.732394,3.380282,1.573427,0,2.265372,50.171429,56.824513,59.995163,11.240812,19.86014,2.475336,0.108696,7.68929,27.336323,1.716515,9.230769,53.125,6.903766,16.058394,0.433041,1895.80159,0,0,0,0,0,2,2,1,1,0,3,1,7.28,0.014658,1.23,0,13.05,0.043975,0.989604,88.984169,91.476107,85.590736,0,1.897752,85.407505
XIII,Santo Spirito,Bari,111,8.385447,1440.114007,12076,1609,269,166.625233,22.275588,22.954621,2.730375,65.257436,11.085973,1.131222,2.108434,0,1.398026,78.768441,167.867868,60.033375,10.699223,19.719101,2.572729,0.099681,8.018668,30.833168,1.349325,10.181818,58.62069,7.98005,19.847328,0.418017,2064.773426,0,0,0,0,1,1,4,1,1,0,5,1,2.06,0,1.56,0,3.15,0,0.185041,29.66214,100,81.632991,0,2.811606,72.217622
XIV,Carbonara di Bari,Bari,221,12.773497,1876.620059,23971,2792,650,210.100287,27.116099,21.555213,4.296546,63.433297,31.80778,5.720824,5.208333,0,5.517241,26.348172,48.885077,58.961664,11.620013,22.234513,2.755041,0.090946,8.617042,35.516071,1.491161,12.956419,53.448276,9.438471,20.415879,0.447784,1500.810257,0,0,0,1,0,4,3,3,1,0,4,0,2.94,0,3.86,0,4.13,99.716324,0.729535,75.849985,95.853323,90.901506,60.765091,4.873964,0
XV,Ceglie del Campo,Bari,66,6.442613,1159.001759,7467,862,163,177.726218,21.829383,21.802598,3.644068,58.045043,7.361963,3.680982,2.068966,4.545455,3.761755,72.877358,52.095808,56.811902,12.110081,22.487644,2.271231,0.231481,10.557621,41.408822,1.959799,14.233577,40,10.31746,20.725389,0.497823,2034.984503,0,0,0,0,0,0,1,1,1,1,3,0,10.12,0,4,0,10.84,84.853355,2.664742,94.522566,99.785724,99.785724,80.353556,5.499178,0
XVI,Loseto,Bari,34,7.716269,389.825712,3008,308,28,203.246753,9.308511,20.711436,2.60223,63.672541,0,0,0,0,0,16.455696,54.716981,58.186528,11.507358,18.055556,2.847571,0,5.471698,22.529313,1.783591,8.849558,0,5.607477,15.151515,0.481935,1972.013858,0,0,0,0,0,0,1,0,0,0,1,0,2.79,0,6.09,0,10.13,14.394947,1.665091,0,98.836436,0,0,1.924526,0
XVII,Torre a Mare,Bari,80,5.449185,1148.245036,6257,806,406,163.275434,64.887326,21.831549,4.41432,66.993007,39.108911,12.376238,10.31746,0,11.585366,41.791045,72.108844,60.413972,11.656617,22.53194,2.971311,0.069013,11.148649,37.636612,1.019313,10.687023,65,6.965174,16.504854,0.379596,1410.714286,0,0,0,0,0,2,1,1,1,0,2,0,8.04,0,6.46,0,9.84,0,2.192018,39.060253,66.038037,63.992329,0,3.018881,34.153748
,Lavino Di Mezzo,Bologna,3,0.92285,566.722777,523,82,114,93.902439,217.973231,24.091778,4.362416,69.0625,0,0,0,0,0,0,0,75.872093,6.462384,23.684211,1.119403,0.769231,6.153846,45.149254,2.061856,18.75,33.333333,20,16.666667,0.431953,2450,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,2.94,0,15.19,0,2.96608,0,0,0,0,4.483087,0
,Via Del Vivaio,Bologna,29,6.131746,144.493915,886,149,115,94.630872,129.79684,27.65237,3.896104,65.6,0,0,0,0,0,0,0,70.14652,8.38436,28.148148,4.568528,8.115183,8.064516,35.532995,2.356902,19.047619,20,21.212121,46.666667,0.369843,2350,0,0,0,0,0,0,0,0,0,0,0,0,3.93,8.803612,3.16,10.948081,13.9,0,3.161547,15.575621,13.431151,13.431151,0,2.147344,14.785553
,Bargellino,Bologna,7,0.687626,,83,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Aeroporto,Bologna,27,4.385309,107.632096,472,65,53,109.230769,112.288136,21.398305,3.174603,72.333333,0,0,0,0,0,0,0,77.672956,6.477492,16.666667,2.5,1.298701,9.836066,28.75,1.538462,0,0,0,0,0.400714,2350,0,0,0,0,0,0,0,0,0,0,0,0,3.08,0,3.01,0,14.51,0,2.126811,0,34.745763,34.745763,0,3.248439,0
,La Birra,Bologna,13,0.580245,3357.200832,1948,223,353,220.179372,181.211499,20.379877,3.466956,70.566038,100,24.193548,0,0,24.193548,66.161616,169.230769,76.67537,6.10954,13.605442,0.792864,0,8.035714,34.886026,2.472952,14.40678,40,11.47541,12.5,0.406184,2350,0,0,0,0,0,0,1,1,0,0,1,0,4.68,0,4.3,0,11.66,0,0.479283,0,100,100,0,2.764699,0
,Lungo Reno,Bologna,5,0.268227,,12,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Ducati-Villaggio Ina,Bologna,20,0.723581,4253.84157,3078,336,358,312.5,116.309292,18.583496,3.091945,74.725275,100,20.614035,28.336756,0,25.874126,239.087948,210.606061,75.425331,6.248044,15.4047,1.060512,0.064392,7.747197,31.378665,1.5625,6.557377,17.647059,4.395604,8,0.380041,2350,1,38328,0,0,1,3,1,1,1,0,2,0,0.91,100,0.6,98.765432,13.44,0,0.1693,100,100,100,0,1.911267,0
,Borgo Centro,Bologna,51,1.542964,5081.778687,7841,990,1662,187.676768,211.96276,20.558602,3.487429,70.189888,100,47.465438,0,0,47.465438,27.419355,67.1875,76.180394,6.398599,18.051576,1.253071,0.050916,8.57971,37.248157,3.055965,13.276231,34.453782,10.185185,15.306122,0.425883,2350,0,0,0,0,0,1,1,1,0,0,1,1,1.04,83.688305,1.81,49.917102,10.78,0,0.758518,99.260298,99.234791,99.234791,0,0.694237,83.025124
,Triumvirato-Pietra,Bologna,23,1.085683,4813.558885,5226,671,947,187.928465,181.209338,19.747417,3.009353,74.122059,100,46.086957,0,0,46.086957,21.111111,50,76.797176,6.154778,18.88,1.684132,0.038521,5.711775,35.778443,2.614379,16,39.130435,14.634146,35.849057,0.430661,2350,0,0,0,0,0,0,1,1,0,0,1,0,2.44,0,2.09,0,7.02,38.021431,0.280284,100,100,100,0,1.100514,86.088787
,Rigosa,Bologna,47,8.73006,147.421666,1287,212,163,148.584906,126.651127,27.117327,2.898551,74.638844,0,0,0,0,0,0,0,69.583931,7.968481,23.383085,1.996008,3.680982,18.983051,44.510978,2.506964,13.265306,25,7.317073,31.578947,0.407201,2350,0,0,0,0,0,0,0,0,0,0,0,0,1.86,17.327117,3.34,3.574204,12.02,0,2.784066,11.111111,5.439005,1.864802,0,1.738207,20.901321
,Casteldebole,Bologna,25,1.08708,4625.23508,5028,614,548,254.071661,108.989658,21.221161,2.012764,72.13661,100,18.930041,0,0,18.930041,42.150171,111.940299,74.789916,6.274554,14.263323,0.649614,0.082169,8.019526,31.546894,2.954117,10.25641,24.489796,5.970149,10.25641,0.372119,2350,0,0,0,0,0,3,1,1,0,0,1,1,2.61,0,2.11,0,10.67,0,0.872971,100,95.843278,95.843278,0,1.066512,98.627685
,Caserme Rosse-Manifattura,Bologna,26,1.242346,1702.423633,2115,272,457,186.764706,216.07565,22.411348,2.609603,70.167696,0,0,25.925926,0,25.925926,101.515152,0,72.558515,7.361657,17.508418,1.386139,0.100503,10.775862,42.772277,2.513966,15.277778,30.769231,16.883117,27.5,0.422144,2425,0,0,0,0,1,0,0,0,1,0,1,0,1.91,0,0.12,93.475177,12.22,0,0.334985,98.061466,98.108747,93.522459,93.475177,3.51831,0
,Cnr,Bologna,8,0.29849,,67,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Arcoveggio,Bologna,45,0.957314,10853.278854,10390,1245,2294,180.240964,220.78922,19.3359,2.967245,76.649829,80,48.571429,51.587302,21.732405,28.604855,324.94929,106.27451,76.105247,7.208946,18.50508,1.02698,0.071633,8.291708,40.748477,2.771855,16.104869,38.815789,12.8,23.913043,0.401913,2425,0,0,0,0,2,7,2,2,1,1,4,0,1.4,38.286814,0.7,100,9.4,4.552454,0.502953,100,100,100,100,2.27776,8.902791
,Via Ferrarese,Bologna,46,0.989236,11474.508306,11351,1433,3045,147.034194,268.258303,20.183244,3.782784,75.147418,100,20,0,0,20,30.857648,72.527473,76.288521,7.038569,17.915309,1.079079,0.198807,9.526316,42.615558,2.900618,18.530351,40,13.103448,22.93578,0.426659,2439.910581,1,13004,0,0,0,3,1,1,0,0,1,0,0.88,76.081403,1.04,94.035768,11.74,0,0.088475,100,100,100,100,2.109766,1.532905
,Ex Mercato Ortofrutticolo,Bologna,7,0.706192,1779.96916,1257,228,499,64.473684,396.976929,49.323787,10.416667,85.102041,0,0,0,0,0,0,0,72.954925,10.016316,47.173913,0.675676,0,6.870229,33.783784,1.792115,53.787879,60.465116,21.95122,0,0.374212,2627.943516,0,0,0,0,0,1,0,0,0,0,0,0,1.72,0,1.14,32.696897,9.76,3.341289,0.92092,100,100,100,100,1.707792,41.050119
,Piazza Dell'Unita',Bologna,53,0.775633,13655.945536,10592,1369,2477,160.482104,233.85574,21.912764,3.337636,75.370431,100,62.882096,0,11.060802,17.746479,142.392189,42.394822,70.542636,9.33055,20.493827,1.546301,0.089334,16.565962,54.858549,3.011515,16.909621,37.096774,12.063492,20.930233,0.401254,2657.930514,0,0,0,0,1,2,1,1,0,1,2,0,1.11,90.615559,0.74,72.790785,11.28,15.738293,0.532669,100,100,100,100,1.048061,83.42145
,San Savino,Bologna,47,1.122355,8156.068332,9154,1130,1662,237.610619,181.559974,20.493773,2.600051,74.243414,75.630252,35.294118,33.680556,0,34.685864,73.752495,120.087336,75.226586,6.439412,17.734855,1.043054,0.045228,8.170586,32.911673,2.175391,11.132812,24.545455,6.477733,13.684211,0.401707,2388,0,0,0,0,1,1,2,2,1,0,3,1,4.29,0,0.83,96.351322,14.85,0,0.269945,87.797684,96.351322,96.351322,65.075377,1.930738,6.084772
,Savena Abbandonato,Bologna,31,6.029182,166.357558,1003,127,197,117.322835,196.410768,22.033898,3.551402,68.404423,0,0,0,5.019305,5.019305,436.448598,0,73.950796,8.106435,28.571429,2.263374,3.983229,11.023622,36.419753,3.743316,26.315789,33.333333,24,33.333333,0.384564,2074.937188,0,0,0,0,0,0,0,0,0,1,1,0,4.18,0,3.71,0,16.98,0,1.60988,23.33001,60.917248,38.783649,61.814556,5.304204,0
,Croce Coperta,Bologna,48,1.850241,3203.366067,5927,665,1031,217.894737,173.949722,20.617513,2.491506,73.986486,100,28.638498,0,0,28.638498,37.606838,101.574803,74.446003,6.400587,15.776699,0.976431,0.102705,9.465649,36.296296,2.4821,10.92233,34.020619,8.121827,20.27027,0.416879,2388,0,0,0,0,0,6,1,1,0,0,1,0,2.94,0,1.23,29.424667,12.28,0,1.555143,100,82.925595,73.696642,15.674034,3.423685,0
,Mulino Del Gomito,Bologna,8,0.554815,1209.412944,671,58,175,168.965517,260.804769,15.797317,3.807107,64.239829,0,0,0,46.666667,46.666667,0,0,65.020576,15.355678,12.941176,1.886792,0.478469,26.25,60.849057,3.49345,12.5,25,0,0,0.449947,2186.509687,0,0,0,0,0,0,0,0,0,1,1,0,2.94,0,2.84,0,13.18,0,0.509709,42.771982,100,100,93.591654,4.420022,0
,La Dozza,Bologna,10,0.29492,4702.968264,1387,143,100,262.937063,72.098053,21.629416,1.202749,78.762307,100,22.522523,0,0,22.522523,70,210,79.323308,4.322142,10.900474,0.773994,0,3.021148,17.027864,1.190476,5.042017,40,7.692308,0,0.381936,2388,0,0,0,0,0,0,1,1,0,0,1,0,2.3,0,2.8,0,12.61,0,0.479982,0,100,100,56.30858,4.148532,0
,Laghetti Del Rosario,Bologna,34,4.63188,100.391205,465,62,65,127.419355,139.784946,22.795699,3.004292,74.642857,0,0,0,0,0,0,0,74.172185,6.852744,13.432836,1.388889,0,7.042254,34.722222,2.824859,8.333333,0,5.882353,16.666667,0.376061,2410.890511,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0,3.01,0,10.05,5.16129,2.992504,18.494624,5.16129,0,0,2.834698,20
,La Noce,Bologna,7,0.98248,1537.944406,1511,172,202,183.72093,133.6863,20.979484,2.121212,71.298405,0,0,0,0,0,0,0,69.821241,7.487322,21.333333,1.12202,0,9.608541,34.642356,2.140078,11.320755,38.888889,14.583333,26.666667,0.384665,2500,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,1.27,0,8.7,0,2.161307,35.009927,0,0,0,4.699278,0
,Tiro A Segno,Bologna,27,1.545646,,134,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,1,0,,,,,,,,,,,,,
,Pescarola,Bologna,19,0.789554,5618.364902,4436,528,660,243.560606,148.782687,20.964833,2.916225,67.612613,0,0,0,0,0,0,0,71.068923,7.829364,18.38488,1.505474,0.046382,13.441781,42.974453,2.169035,15.073529,37.209302,14.074074,17.283951,0.394367,2500,0,0,0,0,0,3,0,0,0,0,0,0,2.3,0,0.68,18.237151,6.43,100,1.133856,100,99.458972,99.458972,20.311091,3.662936,0
,Lazzaretto,Bologna,14,1.266935,631.445252,800,115,185,71.304348,231.25,22.125,3.740157,79.112754,0,0,0,33.127318,33.127318,942.682927,0,79.173838,7.136617,23.622047,0.859599,0.584795,4.166667,37.82235,3.311258,24.489796,40,11.111111,0,0.464115,2500,0,0,0,0,0,0,0,0,0,1,1,0,2.51,0,1.78,21.625,4.79,100,1.973242,88.125,87.25,29.375,100,2.95616,0
,Beverara,Bologna,52,1.86277,3669.266841,6835,757,1005,259.048877,147.037308,19.473299,2.67733,72.819644,94.101124,40.730337,31.15942,40.883978,37.515375,109.308886,128.658537,72.937809,7.214661,17.253121,1.131862,0.057455,13.197129,41.143181,3.488899,13.965087,36.666667,9.195402,20.238095,0.389262,2499.768587,1,14618,1,0,2,3,1,1,1,1,3,0,0.48,78.99049,0.22,99.619605,7.34,80.219459,0.00774,100,100,99.926847,74.967081,2.71168,0.26335
,Marconi-2,Bologna,78,0.881606,13926.848671,12278,1238,1332,232.390953,108.486724,17.673888,1.436094,88.286544,28.366248,27.827648,12.293144,33.923579,27.812957,180.744186,128.244275,76.597115,6.703881,14.615385,0.937961,0.151016,10.212604,41.833043,1.650619,9.929078,39.84375,5.740181,20.833333,0.341762,2901.019547,3,113115,0,0,9,1,2,2,1,1,4,2,0.07,100,0.03,100,10.4,0,0.400186,100,100,100,100,0.721347,72.813162
,Marconi-1,Bologna,27,0.176645,12992.154841,2295,209,221,254.066986,96.296296,16.862745,1.906412,88.961511,0,0,0,1.346002,1.346002,674.603175,0,75.033647,6.56114,13.872832,0.641026,0.363901,10.208333,42.877493,1.468788,7.462687,31.25,7.8125,37.5,0.331046,3838,2,34671,0,0,3,0,0,0,0,1,1,0,0,100,0,100,12.77,0,0.759501,100,100,100,100,1.2406,62.352941
,Prati Di Caprara-Ospedale Maggiore,Bologna,4,0.56397,,464,65,37,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Scalo Ravone,Bologna,2,0.666648,,150,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,Zanardi,Bologna,31,0.553963,11381.635512,6305,707,939,202.545969,148.929421,18.334655,1.911626,80.414313,0,0,0,0,0,0,0,75.182666,6.970527,17.480136,1.518917,0.140331,22.638564,52.58216,2.700142,12.804878,31.64557,9.876543,23.076923,0.365881,2738,0,0,0,0,1,2,0,0,0,0,0,0,0.33,100,0.41,100,8,35.368755,0.50958,100,100,100,100,1.182921,61.205393
,Velodromo,Bologna,26,0.430358,13572.418785,5841,685,826,202.043796,141.414141,18.644068,1.694915,82.244656,0,0,0,0,0,0,0,78.09444,5.716248,15.205479,0.928218,0,8.009516,36.169554,2.164706,9.025271,27.692308,9.15493,10.714286,0.387054,2469.324602,0,0,0,0,0,2,0,0,0,0,0,0,1.53,0,1.54,71.956857,4.96,100,1.424595,100,100,100,67.916453,3.322678,0
,Via Vittorio Veneto,Bologna,26,0.453911,11843.723391,5376,575,706,207.826087,131.324405,17.075893,1.705151,84.768618,74.260355,26.035503,28.93617,0,27.225131,122.462203,195.454545,78.733295,6.383107,14.934114,0.959386,0.131666,8.675799,41.285577,2.195609,12.288136,47.368421,8.695652,19.444444,0.372928,2704.357143,1,2000,0,0,0,3,1,1,1,0,2,0,0.24,16.331845,0.8,100,6.95,91.517857,0.458992,100,100,100,43.712798,2.219499,0
,Villaggio Della Barca,Bologna,44,1.302921,4430.81306,5773,822,1175,177.980535,203.533691,24.268145,3.590157,62.014438,100,46.478873,0,25.218561,27.882353,204.464286,66.304348,69.723618,8.417304,20.194647,2.004539,0,12.681436,43.343419,4.142357,17.402597,28.571429,13.736264,14.4,0.412946,2466.044518,0,0,0,0,0,1,1,1,0,1,2,0,3.62,0,1.86,41.468907,8.37,9.821583,0.256189,100,100,100,100,3.362111,0
,Battindarno,Bologna,42,0.935133,9263.923454,8663,926,1214,276.99784,140.136211,18.94263,2.413887,74.758806,100,34.666667,26.914661,0,29.472141,79.653179,78.362573,76.503642,5.711921,15.90706,0.859923,0,7.061311,33.718036,3.135889,10.750507,30.337079,6.329114,15.189873,0.401678,2450,0,0,0,0,1,3,1,1,1,0,2,0,4.47,0,0.71,100,8.19,71.661087,0.303491,100,100,100,100,3.110372,0
,Canale Di Reno,Bologna,32,1.083712,5782.902716,6267,699,662,260.228898,105.632679,19.897878,1.93475,82.349266,0,18.987342,0,0,18.987342,36.769231,100,76.787774,5.729205,12.545676,0.716511,0.095027,6.45919,29.190031,1.55881,6.315789,33.333333,5.527638,17.647059,0.377289,2825,0,0,0,0,0,2,1,0,0,0,1,0,4.37,0,0.48,21.046753,8.58,54.491782,0.365272,100,100,86.708154,56.917185,4.34454,0
,Agucchi,Bologna,26,1.091895,3984.816909,4351,540,842,173.518519,193.518731,20.75385,2.159624,74.034249,24.509804,44.117647,19.302949,0,24.631579,98.731501,49.019608,74.769458,6.631973,18.388792,0.956522,0.044444,10.48951,42.26087,3.010471,14.728682,37.096774,5.042017,33.962264,0.435711,2450,0,0,0,0,0,3,1,1,1,0,2,0,2.95,0,1.56,84.854057,4.07,100,0.24837,100,100,100,14.41048,2.711367,0
,Emilia Ponente,Bologna,33,0.855487,10567.082946,9040,1094,1238,180.71298,136.946903,20.575221,1.830357,79.723237,72.025052,23.173278,0,0,23.173278,48.611111,131.531532,78.069387,5.796574,12.969005,1.295987,0,8.123249,34.740803,2.308153,9.615385,27.777778,7.843137,20.634921,0.409905,2450,0,0,0,0,0,1,2,2,0,0,2,0,5.62,0,0.61,92.168142,5.87,100,0.395929,100,100,100,48.761062,2.578501,0
,Cadriano-Calamosco,Bologna,27,6.08135,131.056436,797,118,126,138.135593,158.092848,23.212045,2.902375,78.173719,0,0,0,0,0,0,0,75.518672,6.76909,18.75,0.828729,0,9.6,31.21547,3.928571,22,57.142857,15,0,0.339739,2050,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,2.54,7.904642,13.19,0,2.56572,2.885822,7.904642,7.904642,0,5.549578,0
,Fiera,Bologna,16,1.688627,,29,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18400,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
,San Donnino,Bologna,17,0.411595,7002.020886,2882,324,375,254.012346,130.117974,19.292158,2.948403,76.580173,60,16.923077,0,0,16.923077,73.758865,190.322581,73.271605,6.991071,15.240642,2.014775,0,7.049608,33.243788,3.938731,12.269939,47.619048,6.493506,22.580645,0.379485,2488,0,0,0,0,0,0,1,1,0,0,1,0,1.89,0,1.61,17.904233,9.67,0,0.287506,100,100,100,12.421929,2.727214,0
